id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,study_goal_zh,method_summary_zh,result_summary_zh,conclusion_summary_zh,takeaway_zh,deployment_summary_zh,leakage_summary_zh,content_status_zh,publication_year_status,publication_year_display,publication_year_basis,publication_year_note,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-035-a-comparative-study-of-signal-representations-methods-and-deep-learning-,A Comparative Study of Signal Representations Methods and Deep Learning Architectures for PPG-Based Cuffless Blood Pressure Estimation,2026,2026-08-17,paper,Sensors,10.3390/s26092847,https://doi.org/10.3390/s26092847,primary-metadata/abstract,PPG | cuffless BP | foundation model,not_reported,PPG,UCI Open BP 上比较七种变换与多个深度架构，最佳为 CWT；另在 26 人真实采集中用 Omron cuff 作参考。,CWT 配置 SBP/DBP 为 3.80±5.02/1.65±2.70 mmHg；26 人验证相关 r=0.96/0.74，但摘要未给该队列的 MAE/LoA。,在统一模型框架下比较七种 1D→2D PPG signal representation，而不是只比较网络。,UCI Open BP 上比较七种变换与多个深度架构，最佳为 CWT；另在 26 人真实采集中用 Omron cuff 作参考。,CWT 配置 SBP/DBP 为 3.80±5.02/1.65±2.70 mmHg；26 人验证相关 r=0.96/0.74，但摘要未给该队列的 MAE/LoA。,representation 影响很大，外部小队列支持趋势一致性，但相关性不等于准确性。,CWT 值得比较；不能用 26 人相关系数替代误差与标准验证。,推理只需 PPG+CWT pipeline，不需当前 BP；实时成本和设备外部验证仍有限。,UCI 的 subject split 未在摘要报告，低 MAE 有 window leakage 风险；26 人外部数据有助但证据较小。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not reported,,not reported,可得摘要/正文信息未报告个人 cuff calibration。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,true,26 人 Omron reference 实采队列,存在独立数据/队列测试；仍按论文具体任务解释。,research-only,研究验证阶段,PPG,false,推理只需 PPG+CWT pipeline，不需当前 BP；实时成本和设备外部验证仍有限。,medium,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,可得来源未报告个人目标 BP 校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,UCI 的 subject split 未在摘要报告，低 MAE 有 window leakage 风险；26 人外部数据有助但证据较小。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-036-multitaskbp-reliable-ppg-based-blood-pressure-measurement-under-motion-a,MultitaskBP: Reliable PPG-Based Blood Pressure Measurement Under Motion Artifact Corruption,2026,2026-08-17,paper,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2026.3652724,https://doi.org/10.1109/tim.2026.3652724,primary-metadata/abstract,PPG | cuffless BP | signal quality/trustworthiness,not_reported,PPG | IMU/context (possible),Transformer encoder+hierarchical attention，联合质量分类、缺失段重建和 SBP/DBP，多尺度建模 intrabeat/interbeat。,"PhysioNet MIMIC-II/III 的约 250 records、约 25,000 cardiac cycles blind test 上 SBP/DBP MAE 2.17/1.20 mmHg；ARM Cortex-A72 处理 25 秒窗 latency 0.93 秒。",在 corrupted/missing PPG 下同时做 SQA、信号重建与 beat-to-beat BP。,Transformer encoder+hierarchical attention，联合质量分类、缺失段重建和 SBP/DBP，多尺度建模 intrabeat/interbeat。,"PhysioNet MIMIC-II/III 的约 250 records、约 25,000 cardiac cycles blind test 上 SBP/DBP MAE 2.17/1.20 mmHg；ARM Cortex-A72 处理 25 秒窗 latency 0.93 秒。",多任务与端侧 latency 很有吸引力，但 blind test 是否 subject-disjoint 未明确，低误差需谨慎。,内置 SQA/重建适合部署；在划分未公开前不能认定跨人临床精度。,推理只需 25 秒 PPG，可在 ARM Cortex-A72 近实时运行，不需当前 BP。,SQA 未见使用目标 BP；MIMIC 窗口/受试者划分不明，window leakage 风险中高。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not reported,,not reported,可得摘要/正文信息未报告个人 cuff calibration。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,research-only,研究验证阶段,PPG,false,推理只需 25 秒 PPG，可在 ARM Cortex-A72 近实时运行，不需当前 BP。,medium-to-high,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,可得来源未报告个人目标 BP 校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,SQA 未见使用目标 BP；MIMIC 窗口/受试者划分不明，window leakage 风险中高。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-037-innovative-wearable-platform-for-synchronized-biosignals-acquisition-a-p,Innovative Wearable Platform for Synchronized Biosignals Acquisition: A Proof of Concept in a Cuff-Less Blood Pressure Monitoring Case Study,2026,2026-08-17,paper,Publication not fully verified,10.1109/jtehm.2026.3687981,https://doi.org/10.1109/jtehm.2026.3687981,primary-metadata/abstract,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),自研 2.4 GHz+BLE 平台同步 ECG 和腕部 PPG；19 名健康者跑台运动，间歇 oscillometric cuff 提供 SBP 参考。,PAT 与 SBP 的运动后变化和 mono-exponential recovery 显著相关；恢复指数一致性的 percentage limits 约 −34.36% 至 37.53%。,建立亚微秒同步的无线多节点 ECG+PPG 平台，跟踪运动后 PAT 与 SBP 恢复。,自研 2.4 GHz+BLE 平台同步 ECG 和腕部 PPG；19 名健康者跑台运动，间歇 oscillometric cuff 提供 SBP 参考。,PAT 与 SBP 的运动后变化和 mono-exponential recovery 显著相关；恢复指数一致性的 percentage limits 约 −34.36% 至 37.53%。,平台证明了同步采集和趋势跟踪可行，但没有验证绝对 BP estimator，样本也很小。,强项是同步硬件，不是 cuffless BP 数值精度。,推理/分析需 ECG+PPG 计算 PAT；参考 cuff 仅用于验证，不进入日常推理。,当前 BP 未进入推理，目标泄露低；单中心 19 人不构成外部临床验证。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,ECG | wrist PPG,false,推理/分析需 ECG+PPG 计算 PAT；参考 cuff 仅用于验证，不进入日常推理。,low,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,当前 BP 未进入推理，目标泄露低；单中心 19 人不构成外部临床验证。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-038-cfd-guided-detection-of-concept-drift-in-multimodal-physiologic-signals,CFD-Guided Detection of Concept Drift in Multimodal Physiologic Signals,2026,2026-08-17,paper,arXiv,,https://arxiv.org/abs/2608.07759,primary-abstract,PPG,not_reported,not_reported,PECS 比较模型内部变化与 ECG/PPG 可测变化，ECG 为主、PPG 补充，只有两者冲突时选择性使用 respiration；在 PTB-XL、BIDMC、MIMIC 测试。,expanded BIDMC drift classification accuracy 0.8786，MIMIC 0.9560；最佳模态组合随数据规模和队列改变。,判断 wearable cardiovascular model 遇到 motion/posture/接触变化时何时应保留、改变预测或报告不确定。,PECS 比较模型内部变化与 ECG/PPG 可测变化，ECG 为主、PPG 补充，只有两者冲突时选择性使用 respiration；在 PTB-XL、BIDMC、MIMIC 测试。,expanded BIDMC drift classification accuracy 0.8786，MIMIC 0.9560；最佳模态组合随数据规模和队列改变。,更多模态并不总更好，respiration 应作为冲突路由而不是自动覆盖。,是 concept-drift 监控框架，不是 BP estimator；适合作为部署安全层。,需 ECG+PPG，冲突时可用呼吸；不需当前 BP。,无 BP 目标依赖；多数据集验证较好，但 domain-pair selection 必须只基于训练/验证数据。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,ECG | PPG | respiration when signals disagree,false,需 ECG+PPG，冲突时可用呼吸；不需当前 BP。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,无 BP 目标依赖；多数据集验证较好，但 domain-pair selection 必须只基于训练/验证数据。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-039-cap-towards-ppg-universal-representation-learning-with-patient-level-sup,CAP: Towards PPG Universal Representation Learning with Patient-level Supervision,2026,2026-08-18,paper,KDD 2026,10.1145/3770855.3818881,https://doi.org/10.1145/3770855.3818881,primary-metadata/abstract,PPG | foundation model,not_reported,PPG,把纵向 EHR 压缩成 patient-level clinical record，与 PPG 做 cross-modal contrastive alignment，再把 encoder 用于四个下游任务。,respiratory-rate 任务相对 SOTA 最多提升 87.6%，四任务平均提升 26.7%；摘要未给 BP task 指标。,用患者 EHR 历史给 PPG 预训练提供 clinical semantics，学习通用 PPG representation。,把纵向 EHR 压缩成 patient-level clinical record，与 PPG 做 cross-modal contrastive alignment，再把 encoder 用于四个下游任务。,respiratory-rate 任务相对 SOTA 最多提升 87.6%，四任务平均提升 26.7%；摘要未给 BP task 指标。,patient-level supervision 能增强 PPG 表征，但训练期 EHR 不代表推理时必须有 EHR。,临床语义预训练很有潜力；患者重叠会造成严重泄露，必须以 patient ID 划分。,下游通常仅需 PPG encoder；EHR 是预训练监督，具体 head 决定额外输入。,跨模态 patient-level 配对要求严格患者隔离；摘要未完全说明预训练/下游患者重叠，风险中等。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,下游通常仅需 PPG encoder；EHR 是预训练监督，具体 head 决定额外输入。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,跨模态 patient-level 配对要求严格患者隔离；摘要未完全说明预训练/下游患者重叠，风险中等。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-040-photoplethysmography-acceleration-indices-as-digital-biomarkers-of-cardi,Photoplethysmography Acceleration Indices as Digital Biomarkers of Cardiometabolic Health,2026,2026-08-18,paper,Frontiers in Digital Health,10.3389/fdgth.2026.1910212,https://doi.org/10.3389/fdgth.2026.1910212,primary-abstract,PPG,not_reported,PPG,横断面 133 人（健康45、高血压68、糖尿病20），分析 b/a、c/a、d/a 与 AGI 四个 APG index。,四指标均与年龄相关；病理组差异效应较大，b/a 区分高血压与糖尿病的 |d|=1.19。,检验 acceleration PPG 指数能否区分健康、高血压和糖尿病相关血管改变。,横断面 133 人（健康45、高血压68、糖尿病20），分析 b/a、c/a、d/a 与 AGI 四个 APG index。,四指标均与年龄相关；病理组差异效应较大，b/a 区分高血压与糖尿病的 |d|=1.19。,APG index 可作为 vascular-aging/disease biomarker，但未估计连续 SBP/DBP。,适合风险表型，不应按 cuffless BP 测量论文解读。,推理需 PPG 的二阶导数/APG，不需 BP 校准；临床阈值仍需外部队列。,横断面统计分析无当前 BP 推理泄露；小样本且无外部验证，泛化有限。,已完成重点审核,verified,2026,Frontiers 正式文章核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,推理需 PPG 的二阶导数/APG，不需 BP 校准；临床阈值仍需外部队列。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,横断面统计分析无当前 BP 推理泄露；小样本且无外部验证，泛化有限。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-041-motion-aware-low-power-wearable-photoplethysmography-system-with-metamat,Motion-Aware Low-Power Wearable Photoplethysmography System with Metamaterial-Enhanced Wireless Telemetry,2026,2026-08-18,paper,IEEE Transactions on Biomedical Circuits and Systems,10.1109/tbcas.2026.3719439,https://doi.org/10.1109/tbcas.2026.3719439,primary-metadata/abstract,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),系统按运动状态自动采样、adaptive power management，并用 metamaterial-enhanced telemetry 降低 SAR。,功耗下降 55%；坐/站/走/跑下 HR MAE 1.5–6.2 bpm、SpO₂ MAE 0.5–1.0%，PPG SNR>10 dB；SAR 4.36→1.677 W/kg。,通过 motion-gated sampling 与射频结构降低 wearable PPG 功耗并维持 HR/SpO₂ 质量。,系统按运动状态自动采样、adaptive power management，并用 metamaterial-enhanced telemetry 降低 SAR。,功耗下降 55%；坐/站/走/跑下 HR MAE 1.5–6.2 bpm、SpO₂ MAE 0.5–1.0%，PPG SNR>10 dB；SAR 4.36→1.677 W/kg。,硬件对运动和功耗的处理有效，但论文没有估计 BP。,可作为 BP wearable 的采集前端参考，不能算 BP accuracy 证据。,推理/控制需 PPG+motion sensor；面向 HR/SpO₂，未报告 BP calibration。,无 BP 目标；性能验证的受试者规模和独立划分摘要未报告。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,推理/控制需 PPG+motion sensor；面向 HR/SpO₂，未报告 BP calibration。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,无 BP 目标；性能验证的受试者规模和独立划分摘要未报告。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-042-circuit-free-cardiovascular-monitoring-via-smartphone-readable-skin-inte,Circuit-Free Cardiovascular Monitoring via Smartphone-Readable Skin-Interfaced Nanophotonic Films,2026,2026-08-18,paper,Advanced Materials,10.1002/adma.74512,https://doi.org/10.1002/adma.74512,primary-metadata/abstract,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),双面 nanoimprinted PDMS：一侧 nanophotonic strain surface，另一侧 3D 仿生黏附结构；以普通手机读 diffractive colour shift。,"2% strain 产生 9% RGB modulation，1,000 次循环稳定；3D 黏附 shear strength 提高 65%；13 人 per-beat waveform 与临床参考 ρ=0.94±0.03。",用无电路皮肤薄膜把动脉搏动转成手机摄像头可读的颜色变化。,双面 nanoimprinted PDMS：一侧 nanophotonic strain surface，另一侧 3D 仿生黏附结构；以普通手机读 diffractive colour shift。,"2% strain 产生 9% RGB modulation，1,000 次循环稳定；3D 黏附 shear strength 提高 65%；13 人 per-beat waveform 与临床参考 ρ=0.94±0.03。",电子无源、对 melanin 不敏感的脉搏波采集可行，但未验证 BP 输出。,是新型传感材料证据，不是 cuffless BP accuracy study。,需皮肤薄膜+普通 smartphone camera；不需电路或当前 BP。,参考波形只用于比较，无 BP target leakage；13 人 proof-of-concept 无外部验证。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,skin nanophotonic film | smartphone camera,false,需皮肤薄膜+普通 smartphone camera；不需电路或当前 BP。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,参考波形只用于比较，无 BP target leakage；13 人 proof-of-concept 无外部验证。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-043-long-term-accuracy-and-stability-of-blood-pressure-measurements-from-a-s,Long-term accuracy and stability of blood pressure measurements from a smartwatch: Prospective validation study,2026,2026-08-18,paper,Digital Health,10.1177/20552076261415923,https://doi.org/10.1177/20552076261415923,primary-full-text/abstract,PPG | smartwatch | cuffless BP | 28-day calibration stability,37-participant 28-day prospective cohort,Samsung Galaxy Watch 5 PPG pipeline | stored Day-0 cuff calibration,Day-0 calibration followed by 27 days of paired Galaxy Watch 5 and Omron M4 measurements.,Overall MD about −0.34 mmHg SBP and +0.62 mmHg DBP; estimated 28-day drift −0.19/+1.02 mmHg. Error increased when actual BP moved about 10 mmHg away from the initial calibration point.,观察 Galaxy Watch 经过一次初始校准后，连续 27 天的 BP 准确性和漂移情况。,第 0 天校准手表，此后 27 天与 Omron M4 做成对比较；日常 Omron 读数只作为参考，不更新手表。,总体 SBP/DBP MD 约 −0.34/+0.62 mmHg，估计 28 天漂移 −0.19/+1.02 mmHg；真实 BP 距初始校准点约 10 mmHg 时，误差明显增大。,平均漂移不大，但模型更擅长在校准点附近工作；BP 状态发生较大变化时可靠性下降。,“30 天稳定”不能只看平均偏差，还要看离开个人校准点后的误差。,只需第 0 天校准，之后手表独立输出；每日 Omron 仅用于研究验证。,未见验证期参考 BP 回写手表；主要问题不是泄露，而是校准点依赖和 BP 变化后的性能下降。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,single onboarding cuff calibration per manufacturer workflow,,Day 0; recommended 28-day interval,Prospective longitudinal evaluation of calibration stability.,not applicable,"Device validation cohort, not a retrained ML split.",true,37-participant prospective 28-day study,"Small, mostly young/normotensive cohort limits generalizability.",strong-conditional,真实 28 天可用证据，但人群有限,smartwatch PPG | stored Day-0 calibration,false,Daily Omron values were reference only and did not update watch outputs.,low,NO evidence,paired timing for validation only,device workflow,not reported as target-dependent,historical Day-0 cuff only,not applicable,not applicable,"Validates stability, not universal accuracy across hypertensive BP ranges.",priority-reviewed,2026-08-24,重点深审。
ppgbp-044-validation-of-ring-type-cuffless-blood-pressure-monitoring-device-for-de,Validation of ring-type cuffless blood pressure monitoring device for detecting awake-asleep BP variations compared to ambulatory BP monitoring device,2026,2026-08-19,paper,Hypertension Research,10.1038/s41440-026-02759-6,https://www.nature.com/articles/s41440-026-02759-6,primary-full-text,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),84 人招募，按 ESH BP 分布选 35 人；至少提前一天校准，ring 与 ABPM 在非优势臂同步佩戴 24 小时。,awake–asleep 变化差 SBP −1.74±6.47、DBP 0.08±5.84 mmHg，变化相关 r=0.736；dipping 四分类 weighted κ=0.58。,按 ESH awake/asleep test 检验 CART BP Pro ring 能否检测昼夜 BP 变化和 dipping。,84 人招募，按 ESH BP 分布选 35 人；至少提前一天校准，ring 与 ABPM 在非优势臂同步佩戴 24 小时。,awake–asleep 变化差 SBP −1.74±6.47、DBP 0.08±5.84 mmHg，变化相关 r=0.736；dipping 四分类 weighted κ=0.58。,对昼夜变化有中等一致性，但只完成 ESH awake/asleep test，论文明确不能替代 24 h ABPM。,产品证据较强但结论边界清楚：验证的是变化检测，不是完整 cuffless device protocol。,需 ring PPG、至少一天前的 cuff calibration 与已保存参数；监测期无需当前 ABPM。,参考 ABPM 仅用于同日比较；历史校准属于 target-dependent calibration，无窗口训练泄露问题。,已完成重点审核,verified,2025 摘要 / 2026 期刊,Hypertension Research 正式文章核验,该研究先有 2025 年会议摘要；当前记录对应 2026 年正式期刊文章。,cuff calibration,,at least one day before monitoring,CART BP Pro 至少提前一天校准。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,conditional,有条件可部署,ring PPG | stored cuff calibration,false,需 ring PPG、至少一天前的 cuff calibration 与已保存参数；监测期无需当前 ABPM。,medium,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,CART BP Pro 至少提前一天校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,参考 ABPM 仅用于同日比较；历史校准属于 target-dependent calibration，无窗口训练泄露问题。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-045-cardiostate-jepa-delay-aware-cross-modal-learning-of-a-shared-cardiac-re,CardioState-JEPA: Delay-Aware Cross-Modal Learning of a Shared Cardiac Representation,2026,2026-08-19,paper,arXiv,,https://arxiv.org/abs/2608.12944,primary-abstract,PPG | ECG | PCG | foundation model | JEPA | delay alignment,multiple unimodal and paired cardiac datasets,PPG or ECG or PCG,"Two-stage joint-embedding predictive architecture with modality tokenizers, shared Transformer, masked latent prediction, and learned cross-modal delay alignment.","Frozen encoder reports +8.2 AUROC points for PPG classification, +18.8 for PCG murmur detection and +15.5 for ECG classification over the best SSL baseline.",让 PPG、ECG、PCG 在存在生理时间延迟时仍能学习共享的 cardiac representation。,两阶段 JEPA：各模态 tokenizer、共享 Transformer、masked latent prediction，加上可学习的跨模态 delay alignment。,冻结 encoder 后，相比最佳 SSL baseline，PPG 分类、PCG murmur 检测和 ECG 分类分别提高 8.2、18.8、15.5 个 AUROC 点。,延迟感知的跨模态预训练能提升通用心血管表征，但论文并未直接验证无袖带 BP head。,可作为下游模型底座，不能把多任务 AUROC 提升等同于 BP 精度提升。,跨模态 delay aligner 在预训练阶段学习；具体下游可仅保留目标模态，但 BP 任务需另做验证。,共享表征本身不是 BP 泄露；风险取决于下游 BP 标签、时间对齐和受试者划分。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,0,not applicable,No cuffless BP calibration study.,task-specific,Downstream protocols vary.,true,25 downstream tasks,Not a BP-regression validation.,research-enabler,可作为 PPG encoder,"one available cardiac modality, e.g. PPG",false,Delay aligner is learned during pretraining; BP head still needs separate validation.,low for BP target leakage,not applicable,"cross-modal delay alignment uses paired sensors, not BP target",not applicable,not applicable,not applicable,task-specific,task-specific,No absolute BP claim should be inferred.,priority-reviewed,2026-08-24,重点深审。
ppgbp-046-in-hospital-stroke-prediction-from-ppg-derived-hemodynamic-features,In-Hospital Stroke Prediction from PPG-Derived Hemodynamic Features,2026,2026-08-19,paper,arXiv,,https://arxiv.org/abs/2602.09328,primary-abstract,PPG,not_reported,PPG,LLM 辅助从病历抽取并由医生确认 onset；MIMIC-III 176 人、MC-MED 158 人，提取 PPG hemodynamic features 并训练 ResNet-1D。,MIMIC 提前 4/5/6 小时 F1 为 0.7956/0.8759/0.9406；不重新调参到 MC-MED 为 0.9256/0.9595/0.9888。,利用住院期间连续 PPG，在有明确发作时间的患者中提前预测 stroke。,LLM 辅助从病历抽取并由医生确认 onset；MIMIC-III 176 人、MC-MED 158 人，提取 PPG hemodynamic features 并训练 ResNet-1D。,MIMIC 提前 4/5/6 小时 F1 为 0.7956/0.8759/0.9406；不重新调参到 MC-MED 为 0.9256/0.9595/0.9888。,PPG 可能含数小时前的 stroke 预警信号，外部数据表现强；仍需前瞻性报警验证。,这是结局预警，不是 BP estimator；极高外部 F1 还应检查病例/对照匹配与时间泄露。,推理需连续 PPG，不需 BP；可作为病房监测预警 head。,跨数据集且不调参降低过拟合；必须确认同一患者多窗口不跨集合、特征不包含 onset 后信息，风险中等。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,true,MC-MED（不重新调参）,存在独立数据/队列测试；仍按论文具体任务解释。,not-a-bp-estimator,非 BP 测量任务,PPG,false,推理需连续 PPG，不需 BP；可作为病房监测预警 head。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,跨数据集且不调参降低过拟合；必须确认同一患者多窗口不跨集合、特征不包含 onset 后信息，风险中等。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
