id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,study_goal_zh,method_summary_zh,result_summary_zh,conclusion_summary_zh,takeaway_zh,deployment_summary_zh,leakage_summary_zh,content_status_zh,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-049-the-role-of-dataset-integrity-calibration-and-signal-quality-in-neural-n,"The role of dataset integrity, calibration and signal quality in neural network-based blood pressure estimation",2026,2026-08-20,paper,Scientific Reports,10.1038/s41598-026-66882-7,https://doi.org/10.1038/s41598-026-66882-7,primary-metadata/abstract,PPG | cuffless BP | dataset integrity | calibration | signal synchronization | data leakage,curated MIMIC-III | curated VitalDB,PPG | ECG-derived features for one baseline,"MLP, ResNet and TCN are compared on datasets differing in synchronization; subject-wise splits and 3–9 initial reference measurements test calibration effects.",VitalDB consistently outperformed MIMIC-III; calibration gains diminished beyond three measurements; calibrated DBP reached numerical clinical limits while SBP remained difficult.,系统分析数据同步质量、个人校准次数和 PPG signal quality 对神经网络 BP 估计的影响。,在同步质量不同的数据集上比较 MLP、ResNet、TCN；采用 subject-wise split，并测试 3–9 次初始参考测量的校准效果。,VitalDB 持续优于 MIMIC-III；超过 3 次校准后收益递减；校准后的 DBP 达到数值临床门槛，SBP 仍较困难。,数据完整性和同步质量可能比更复杂的网络更重要；少量校准有效，但不能解决 SBP 的全部问题。,先修数据和划分，再谈模型；3 次左右校准是值得重点验证的工程折中点。,需要初始 cuff/reference BP，并依赖可靠的同步与 SQA。,采用 subject-wise split 降低跨人泄露；仍要保证个人校准样本与测试时间段分离。,已完成重点深审,initial subject-specific reference BP,3–9 tested,initial,Diminishing return beyond three initial measurements.,true,Abstract explicitly reports subject-wise splits to prevent leakage.,false,,Cross-dataset comparison is not the same as training on one and untouched external testing on another.,conditional,有条件可部署,PPG | possibly ECG/PAT features depending model | stored calibration,false,Requires initial cuff/reference measurements; emphasizes synchronized data and SQA.,low-to-medium,not reported as current-window dependent,"dataset-level synchronization is studied, not oracle per-window alignment",unknown,signal-quality curation used; exact target dependence needs methods audit,historical first 3–9 references only,reduced by subject-wise split,NO according to abstract,A methodological audit paper; still requires checking how curated test windows were selected.,priority-reviewed,2026-08-24,重点深审。
ppgbp-050-wearable-cuffless-and-portable-devices-for-blood-pressure-monitoring-201,"Wearable, cuffless, and portable devices for blood pressure monitoring (2015–2025): a scoping review of technologies, calibration, clinical validation, and regulatory frameworks",2026,2026-08-20,review,Frontiers in Digital Health,,,daily-index-only,PPG | cuffless BP | calibration/personalization | wearable deployment | review,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP、calibration/personalization、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-051-change-point-aware-evaluation-and-re-calibration-of-ppg-based-blood-pres,Change Point–Aware Evaluation and Re-Calibration of PPG-Based Blood Pressure Estimation,2026,2026-08-21,paper,MLHC 2026 / arXiv,,https://arxiv.org/abs/2608.18639,primary-abstract,PPG | cuffless BP | change point | recalibration | evaluation,not_reported,PPG | BP trajectory for change-point evaluation,"Detects distributional change points in BP trajectories, evaluates models around fluctuations, and triggers targeted recalibration.","Shows substantial model degradation near BP change points; periodic calibration is insufficient, while change-point-triggered recalibration improves robustness (exact values pending table extraction).",研究 BP 分布突然变化时 PPG→BP 模型为什么失效，以及何时应该重新校准。,检测 BP trajectory 的 change point，分别评估变化点前后误差，并在检测到变化时触发 targeted recalibration。,模型在 BP change point 附近明显退化；固定周期校准不足，变化点触发的重新校准更稳健。具体数值仍待表格复核。,校准应与生理状态变化关联，而不只是按固定天数执行；但触发器不能依赖部署时不可得的真实 BP。,思路重要，关键审计问题是：系统如何在不知道真实 BP 的情况下发现 change point。,若变化点由真实 BP 触发，流程并不自主；需要用 PPG/IMU/上下文构建可部署的触发器。,潜在高风险在触发机制：若用当前真实 BP 判断变化并决定重校准，就把目标信息带入了评估流程。,已完成重点深审,change-point-triggered,,test-time/event-triggered,Deployment validity depends on whether trigger detection uses predicted BP/PPG only or true reference BP.,unknown,Full evaluation protocol requires audit.,false,,No independent clinical external validation confirmed.,conceptual/conditional,触发机制需改造成无参考 BP,PPG | change trigger available at deployment,potentially,"If true BP change points trigger recalibration, the reported protocol is not autonomous.",high,unknown,unknown,YES for evaluation periods around true BP change points,unknown,potentially YES — trigger is defined from BP trajectories,unknown,unknown,Valuable evaluation framework; its deployment claim must separate oracle change points from detectable real-world triggers.,priority-reviewed,2026-08-24,重点深审。
ppgbp-052-clinical-validation-of-photoplethysmography-based-finger-cuffless-blood-,Clinical Validation of Photoplethysmography-Based Finger Cuffless Blood Pressure Monitoring Following European Society of Hypertension Recommendations,2026,2026-08-21,paper,Journal of the American Heart Association,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-053-when-is-rppg-physiologically-valid-for-stress-and-workload-monitoring-a-,When is rPPG physiologically valid for stress and workload monitoring? A PRISMA-ScR scoping review,2026,2026-08-21,review,Frontiers in Digital Health,,,daily-index-only,PPG | wearable deployment | review,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署、review。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-054-fuzzy-accuracy-compensates-for-label-subjectivity-in-classification-of-s,Fuzzy Accuracy Compensates for Label Subjectivity in Classification of Skin Tone Using Wearable Photoplethysmography Signals,2026,2026-08-21,paper,FUZZ-IEEE 2026 / arXiv,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-055-optimizing-health-prediction-using-wearable-sensor-data-machine-learning,Optimizing health prediction using wearable sensor data: Machine learning for anomaly detection in PPG and HRV signals,2026,2026-08-21,paper,Procedia Computer Science,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-056-domain-independent-ppg-signal-quality-assessment-framework-via-represent,Domain-independent PPG signal quality assessment framework via representation learning,2026,2026-08-22,paper,Scientific Reports,10.1038/s41598-026-58783-6,https://www.nature.com/articles/s41598-026-58783-6,primary-full-text,PPG | signal quality | representation learning | domain generalization,CSL finger PPG | WCS wrist PPG | AA neck PPG,PPG,Fine-tunes a pretrained PPG Transformer with triplet loss; quality is embedding distance to high-quality reference embeddings.,"Approximate F1: 90% finger, 95% wrist with generalized references, 70% neck.",建立跨部位、跨设备更稳健的 PPG signal quality assessment，先识别坏信号再进入 BP 或其他下游模型。,用 triplet loss 微调预训练 PPG Transformer，以待测片段到高质量 reference embedding 的距离判断质量。,F1 约为手指 90%、手腕 95%、颈部 70%；跨域效果因采集部位而异。,SQA 可实时运行且不依赖 BP 标签，适合作为部署前端；颈部等新域仍需更多数据。,先判断 PPG 能不能用，再估 BP；这是减少运动伪影失败的实用组件。,推理仅需 PPG 和已保存的高质量 reference embedding，不需要当前 BP。,未使用 BP 目标做质量筛选，目标泄露风险低；应继续避免同一受试者片段跨训练/测试。,已完成重点深审,reference-embedding set,,device/domain setup,No BP calibration; reference embeddings define signal-quality score.,reported evaluation across datasets,Exact subject partition details need table-level audit.,true,wrist and neck datasets,Cross-location generalization is central.,deployable-front-end,适合作为 BP 模型前置 SQA,PPG | stored high-quality reference embeddings,false,Real-time compatible; no BP target needed.,low for BP target leakage,not applicable,not applicable,not BP-target based,"PPG morphology/expert quality labels, not BP values",not applicable,dataset-specific,dataset-specific,"If used in BP studies, freeze SQA before test evaluation and avoid tuning thresholds on test BP error.",priority-reviewed,2026-08-24,重点深审。
ppgbp-057-large-scale-bilateral-cardiovascular-monitoring-via-wearable-rings,Large-scale bilateral cardiovascular monitoring via wearable rings,2026,2026-08-22,paper,npj Digital Medicine,10.1038/s41746-026-03036-z,https://pubmed.ncbi.nlm.nih.gov/42477400/,primary-abstract,PPG | ring | bilateral | cuffless BP | benchmark,MAIBO-derived bilateral benchmark,left ring PPG | right ring PPG,Twelve backbones benchmark bilateral and averaged ring-PPG prediction across cardiovascular/demographic targets.,"97,559 valid samples from 1,810 participants; bilateral SBP/DBP MAE 12.36/8.21 mmHg, only modestly better than cohort-mean baselines 13.81/9.27.",检验左右手双 ring PPG 是否比单侧信号更适合预测 BP 等心血管和人口学指标。,在 12 种 backbone 上比较左手、右手、双侧融合和平均 ring PPG 的多目标预测。,"1,810 人、97,559 个有效样本；双侧 SBP/DBP MAE 为 12.36/8.21 mmHg，只比人群均值 baseline 13.81/9.27 略好。",双侧信号有一定增益，但绝对 BP 误差仍大，且双 ring 的硬件成本并未换来决定性提升。,更适合作为左右差异和姿势研究资源，不宜宣传为高精度 BP 方案。,需要两枚 ring，是额外佩戴成本；当前 BP 精度不足以支撑产品结论。,必须按参与者划分；若把同一人的左右手或不同 session 分到训练和测试，会显著高估泛化。,已完成重点深审,none reported,0,none,Population benchmark.,needs full-method verification,Do not assume session-level split is safe.,false,,Single benchmark cohort.,limited-for-BP,HR 价值较强，绝对 BP 价值有限,bilateral ring PPG,false,Two-ring requirement is itself a deployment cost.,medium,not reported,session-synchronized reference BP,unknown,valid-sample selection requires audit,not reported,unknown,unknown pending split verification,Transparent weak BP result is more credible than near-zero MAE under unsafe splits.,priority-reviewed,2026-08-24,重点深审。
ppgbp-058-photoplethysmography-for-heart-rate-and-rhythm-monitoring-current-eviden,Photoplethysmography for Heart Rate and Rhythm Monitoring: Current Evidence and Clinical Applications,2026,2026-08-22,review,Review publication not fully verified,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-059-evaluation-of-alysis-001-cuffless-blood-pressure-estimation-algorithm-ag,Evaluation of Alysis-001 cuffless blood pressure estimation algorithm against the European Society of Hypertension awake/asleep test criteria in hypertensive patients,2026,2026-08-23,paper,Hypertension Research,10.1038/s41440-026-02728-z,https://www.nature.com/articles/s41440-026-02728-z,primary-full-text,cuffless BP | wearable | clinical validation | ESH awake/asleep | calibration-free,independent development cohorts: 953 seated-rest + 150 treadmill | prospective 24 h hypertensive cohort,green/red/IR PPG | electro-potential pulse signal | accelerometer | gyroscope | skin temperature | age | height | weight,"Biomechanical Moens–Korteweg-based multiparametric algorithm estimates velocity, volume and arterial elasticity; motion/posture correction and signal-quality rejection are applied.","92 enrolled, 78 analyzed; passed all ESH awake/asleep criteria under both extraction strategies; ICC >0.70, non-dipper sensitivity 0.93, specificity 0.75, accuracy 0.82.",在高血压门诊人群中检验 Alysis-001 的 24 小时 awake/asleep BP 表现和 non-dipper 识别能力。,基于 Moens–Korteweg 的多参数生物力学算法估计血流速度、容量和动脉弹性，并结合多光谱 PPG、electro-potential、IMU、温度与人口学信息做运动/姿势校正和 SQA。,92 人入组、78 人纳入分析；两种提取策略都通过 ESH awake/asleep 条件，ICC>0.70；non-dipper sensitivity 0.93、specificity 0.75、accuracy 0.82。,这是较强的真实 24 h wearable 证据，且无需 cuff 校准；但通过 awake/asleep 主测试不等于完成全部 cuffless device 验证。,在当前库中属于部署证据较强的一项，但结论范围应严格限定在研究完成的测试上。,推理需要多光谱 PPG、electro-potential、IMU、温度和人口学信息；高强度活动会自动拒测。,独立前瞻性队列，参考 ABPM 只用于比较；未发现用参考 BP 反归一化、选 beat 或做内部 SQA。,已完成重点深审,demographic calibration only,0,none,"Uses age, height and weight; no initial or periodic cuff calibration.",true,Evaluation cohort has no overlap with independent development datasets.,true,prospective 24 h hypertensive outpatients,"Reference ABPM every 30 min; ESH awake/asleep primary test, not the entire cuffless-device validation suite.",strong-conditional,真实可穿戴证据较强,multispectral PPG | electro-potential | IMU | temperature | demographics,false,Automatically rejects high-intensity activity; does not require cuff calibration.,low,NO evidence,"30-min aggregation used for comparison, not to generate individual estimates",wearable uses fixed 10 s cycles; reference ABPM does not select beats,"internal sensor SQA/IMU rejection, not reference-BP filtering",NO — demographics only,not applicable to independent prospective cohort,NO cohort overlap reported,"Reference ABPM is used for validation, not fed into Alysis estimates.",priority-reviewed,2026-08-24,重点深审；通过 awake/asleep primary test does not equal completing every ESH test.
ppgbp-060-a-multi-posture-asymmetry-aware-intelligent-bilateral-observation-datase,A Multi-posture Asymmetry-aware Intelligent Bilateral Observation Dataset for Cardiovascular Monitoring,2026,2026-08-24,dataset-paper,Scientific Data,10.1038/s41597-026-07915-8,https://www.nature.com/articles/s41597-026-07915-8,primary-full-text,PPG | dataset | ring | bilateral | posture | cuffless BP,MAIBO,left ring PPG | right ring PPG | posture | age | sex | BMI,Dataset descriptor: synchronized bilateral ring PPG across three standardized postures with SBP/DBP/HR and demographic labels.,"1,810 participants and 7,478 sessions; designed for bilateral and posture-dependent cardiovascular benchmarking.",发布一个同时包含左右手 ring PPG 和多种体位的 BP 数据集，用于研究侧别与姿势造成的 domain shift。,同步采集左右手 ring PPG，覆盖 3 种标准体位，并提供 SBP/DBP/HR、年龄、性别、BMI 等标签。,"MAIBO 包含 1,810 名参与者和 7,478 个 session，适合做左右手与姿势依赖的心血管 benchmark。",数据集非常贴近 wearable 研究，但它不会自动保证安全划分；使用者必须自己按 participant ID 分组。,最有价值的实验是 left→right、supine→sitting/standing，而不是随机 window split。,下游推理可只用 ring PPG，也可加入设备实际可得的 posture/IMU。,数据构建未见当前 BP 反归一化；最大风险是把同一人的不同手、体位或 session 随机分到训练和测试。,已完成重点深审,not applicable to dataset,0,not applicable,Reference BP labels are provided; downstream users must define calibration protocol.,not imposed,Dataset users must split by participant ID; random session/window split is unsafe.,false,,"Dataset resource, not an externally validated estimator.",research-enabler,贴近 ring wearable,ring PPG | optional posture/IMU,false,Suitable for left→right and posture-shift tests.,low at dataset construction / high if mis-split,not inherent,reference labels synchronized at session level,downstream-defined,dataset QC present; no current-BP inverse scaling found,downstream-defined,must avoid random sessions/windows,must enforce subject-disjoint partitions,Dataset does not guarantee safe downstream splitting by itself.,priority-reviewed,2026-08-24,重点深审。
ppgbp-061-healthring-physiology-dataset-for-health-sensing-on-rings,HealthRing: Physiology Dataset for Health Sensing on Rings,2026,2026-08-24,dataset-paper,Scientific Data,10.1038/s41597-026-07289-x,https://www.nature.com/articles/s41597-026-07289-x,primary-full-text,PPG | dataset | ring | motion artifact | wearable | cuffless BP,HealthRing,reflective red/IR PPG | transmissive red/IR PPG | 3-axis accelerometer,"Three synchronized cohorts: controlled stimuli, semi-free-living activities and treadmill running; RingTool provides signal-processing and DL baselines.","54 adults; controlled+daily benchmarks: SBP/DBP MAE 12.98/7.64 mmHg, HR 5.33 bpm, RR 2.98 breaths/min, SpO2 1.72%.",提供包含真实运动伪影的 ring physiology 数据，让算法不只在静坐实验中评估。,采集 controlled stimuli、semi-free-living 日常活动和 treadmill running 三组同步数据；两枚 ring 记录反射/透射 red/IR PPG 与 3-axis accelerometer。,共 54 名成人；controlled+daily benchmark 的 SBP/DBP MAE 为 12.98/7.64 mmHg，HR 5.33 bpm，RR 2.98 次/分，SpO₂ 1.72%。,HealthRing 对运动鲁棒性和拒测策略很有价值，但当前 BP benchmark 精度有限，不能视作消费设备验证。,适合研究 arm swing 下“何时不该输出”，而不是证明 ring 已能准确测 BP。,推理输入是 ring PPG 与 accelerometer；可用于运动场景下的 SQA 和鲁棒性研究。,数据本身不要求目标依赖处理；复用时必须按 subject 分组，不能随机打散高度重叠的 windows。,已完成重点深审,benchmark-dependent,,not_reported,Dataset paper does not establish a product calibration protocol.,dataset benchmark dependent,Downstream users must preserve subject separation.,cross-cohort stress test,treadmill cohort,"Motion cohort tests transfer, but BP benchmark is mainly controlled/daily.",research-enabler,真实 wearable 数据价值高，BP 精度有限,ring PPG | accelerometer,false,Supports rejection/robustness research under arm swing.,medium,not reported as target-dependent,synchronized labels are dataset ground truth,benchmark-defined; audit before reuse,quality controls present; target dependence not established,not inherent,possible if windows are shuffled,must be actively prevented,Benchmark MAE is not a consumer-device validation.,priority-reviewed,2026-08-24,重点深审。
ppgbp-062-validation-of-photoplethysmography-derived-short-term-heart-rate-variabi,Validation of photoplethysmography-derived short-term heart rate variability using a wearable device,2026,2026-08-24,paper,Scientific Reports,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-063-feasibility-of-a-noninvasive-photoplethysmography-based-wearable-chest-p,Feasibility of a noninvasive photoplethysmography-based wearable chest patch for cardiac output assessment during exercise compared with thermodilution right heart catheterization,2026,2026-08-24,paper,Scientific Reports,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-064-causal-decomposition-of-ppg-signals-for-cuffless-blood-pressure-estimati,Causal Decomposition of PPG Signals for Cuffless Blood Pressure Estimation,2026,2026-08-24,paper,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2026.3702361,https://pubmed.ncbi.nlm.nih.gov/42268766/,primary-abstract,PPG | cuffless BP | EEMD | causal inference | interpretability,not_reported,PPG,EEMD decomposes PPG into IMFs; counterfactual exclusion and structural causal modeling select BP-relevant components; CNN/GBRT/PAT baselines are compared.,"IMF4–6 showed strongest causal association; CNN using IMF4+5 achieved SBP/DBP MAE 5.55/3.45 mmHg, improving 26.39%/17.86% over original PPG.",找出 PPG 中与 BP 更有因果关联的频率成分，而不是直接把整段波形交给黑箱模型。,用 EEMD 把 PPG 分解为多个 IMF，再通过 counterfactual exclusion 和 structural causal modeling 选择 BP 相关分量，并比较 CNN、GBRT、PAT。,IMF4–6 的因果关联最强；CNN 使用 IMF4+5 时，SBP/DBP MAE 为 5.55/3.45 mmHg，比原始 PPG 改善 26.39%/17.86%。,选择生理相关分量能改善模型，但“causal”命名不能替代 subject-disjoint 和 external validation。,解释性方向值得跟进，当前证据仍不足以证明跨数据集和实时部署稳定。,推理可 PPG-only，但需要固定 EEMD/分量选择流程；实时计算成本与跨域稳定性尚未解决。,摘要未报告明显目标反归一化；subject split、切窗和外部验证仍需全文审计。,已完成重点深审,unknown,,unknown,Abstract does not describe a deployment calibration protocol.,unknown,Needs full-text protocol audit.,false,,No external cohort confirmed from abstract.,promising-research,算法上可 PPG-only，证据不足,PPG | fixed EEMD/component-selection pipeline,false,Causal component selection is learned offline; real-time EEMD cost and cross-dataset stability remain open.,medium,not reported,not reported,unknown,unknown,not reported,unknown,unknown,Causal language does not substitute for subject-disjoint and external validation.,priority-reviewed,2026-08-24,重点深审。
